pureza,fedi,x1,x2,x3,x4,x5,x6,x7
-0.001,10.0,4.921855668706981,98.7287026158238,58.8882347385722,16,58,39,41
-0.001,10.0,2.0813766460596246,51.62678430594276,59.80623414152866,23,35,52,43
-0.001,10.0,4.770854575273682,51.18057380051495,51.93397347048375,5,34,31,31
-0.001,10.0,2.808327612276887,53.30866799237724,54.628057784331986,52,3,10,45
-0.001,10.0,4.833251269543948,77.72441666880154,52.89294361208693,24,18,58,42
-0.001,10.0,4.287169496910998,92.73422812981877,57.092475284177446,47,3,32,48
-0.001,10.0,2.0434601393454863,66.41375698318208,59.7521401926277,2,33,53,37
-0.001,10.0,3.8541093350801012,62.643703150826276,51.176974743002006,51,11,39,35
-0.001,10.0,4.903523841168582,95.68717279970662,54.44394703682651,17,49,27,41
-0.001,10.0,2.808327612276887,98.32084879441892,54.628057784331986,52,3,10,45
-0.001,10.0,4.516021891823084,53.46949303136664,57.48518214089641,16,58,31,41
-0.001,10.0,3.8292070973905896,51.04260542635475,51.88144451466122,12,35,21,43
-0.001,10.0,4.476615312837415,98.7287026158238,57.65887787458452,16,4,54,41
-0.001,10.0,4.087063813376906,58.46478345164814,56.688636043588204,14,13,45,31
-0.001,10.0,4.903523841168582,95.68717279970662,50.233859270187615,17,49,27,33
-0.001,10.0,2.264719927675986,62.07426080327218,52.95326635821971,18,15,52,44
-0.001,10.0,4.6196438771139,93.70673859253138,56.217259295063755,15,4,28,50
-0.001,10.0,3.926848679475964,60.0105713989344,54.318090701269966,52,56,15,38
-0.001,10.0,2.076178203329249,62.246554367889686,59.82388430141245,32,53,52,37
-0.001,10.0,4.983007345025652,60.072392880989156,54.21268353548521,3,43,18,32
-0.001,10.0,2.6999232701598097,77.84535498710683,54.20879444007177,25,51,35,41
-0.001,10.0,2.700261905485577,52.724672448982226,55.076460753358106,42,4,56,41
-0.001,10.0,4.9442827953331605,61.29698700166809,51.209322332815276,31,11,39,36
-0.001,10.0,4.571687797117718,77.51532231949572,57.417808351096774,33,59,11,38
-0.933274411,307.36528862203244,2.3176012442260725,62.28566097054989,51.60385333705285,17,37,38,48
-0.001,10.0,4.983007345025652,79.73595201365193,54.247808930823375,22,8,50,32
-0.001,10.0,2.076178203329249,62.24659411219943,59.82388430141245,32,53,52,37
-0.001,10.0,2.323738884313527,76.87795938788793,59.27395550205515,23,36,52,43
-0.001,10.0,4.28035040978196,51.963894978754674,59.16146449447332,56,31,23,46
-0.001,10.0,4.568173766038745,61.518250732969,53.729655040401155,4,42,18,44
-0.001,10.0,4.833251269543948,58.329634789375135,52.89294361208693,23,15,58,40
-0.001,10.0,2.0028063872464634,62.246554367889686,59.82388430141245,32,53,12,37
-0.001,10.0,2.6999232701598097,77.84535498710683,54.20879444007177,25,51,42,41
-0.001,10.0,2.2599902443056488,61.96835510173996,59.27441291043043,1,6,52,40
-0.001,10.0,2.7891845018745256,78.29587260440296,53.129905781030395,48,12,8,35
-0.001,10.0,3.1743220077179806,54.174190986368444,59.16146449447332,56,31,23,46
-0.001,10.0,3.072936178654346,72.69244359587259,52.95326635821971,18,15,49,44
-0.001,10.0,4.28035040978196,61.35053375842584,59.16146449447332,55,31,23,46
-0.001,10.0,2.0261505885452857,51.99699837855728,59.281378222769426,24,35,52,43
-0.001,10.0,4.476615312837415,98.7287026158238,57.48518214089641,15,4,29,42
-0.001,10.0,2.372197658050396,61.78743859114549,51.60385333705285,20,52,38,33
-0.001,10.0,4.0827171112181775,74.29707565942005,59.721974489102855,7,48,12,35
-0.001,10.0,4.28035040978196,61.35053375842584,59.16146449447332,29,55,23,47
-0.001,10.0,2.696888968682641,69.69850258138497,53.478763496823476,51,7,60,50
-0.001,10.0,3.16857054963063,52.724672448982226,55.076460753358106,42,4,12,45
-0.001,10.0,4.54590274553929,61.11318139168411,53.729655040401155,6,42,7,44
-0.001,10.0,2.6993905809585277,92.61357842959734,59.06175421033362,35,49,55,41
-0.001,10.0,4.983007345025652,56.5896068286785,54.21268353548521,54,31,18,32
-0.001,10.0,3.5268578481808186,76.3715870258187,54.20879444007177,25,53,35,41
-0.001,10.0,4.28218334071945,58.329634789375135,53.60207752425941,23,14,58,39
-0.982953251,297.22402800549236,4.9844009349446114,53.11555819841639,54.608704715992474,2,8,18,32
-0.001,10.0,2.403818078425906,52.041221723290995,59.281378222769426,24,35,52,43
-0.001,10.0,4.6196438771139,91.82145080512171,56.090699772560555,15,4,28,50
-0.001,10.0,2.264719927675986,63.957548353062684,53.8877505532515,18,15,52,44
