pureza,reboiler,x1,x2,x3,x4,x5
-0.369785961,7.069282134804,0.6503002732661224,2.1169539551477543,3,1,27
-0.952379508,72.44643028968,0.3829696759637444,4.390699430910335,3,8,21
-0.936765615,13.114088976312,0.22862877252728364,1.617241076720112,3,13,34
-0.952364433,54.8691528096,0.4953650561637028,3.422693777753333,3,7,32
-0.952380819,97.91629845948,0.38859094497217694,5.589643359661166,3,13,33
-0.951513071,28.0071652662,0.38153533748525625,2.27798883012814,3,4,33
-0.950542881,21.816022228452,0.19811444126999567,2.0803261460766986,3,13,27
-0.952380866,102.02568997032,0.3660347644226521,5.837139724266668,3,13,34
-0.154777536,1.7834385979188,0.19811444126999567,2.0800662809223027,3,1,27
-0.744821392,9.170346030336,0.20879975029102446,1.0582637213799413,3,13,34
-0.369785961,7.069282134804,0.6503002732661224,2.1169539551477543,3,1,27
-0.952380829,89.97371821512,0.19974522435584957,5.634679995782668,3,15,27
-0.951513071,28.0071652662,0.38153533748525625,2.27798883012814,3,4,33
-0.952364433,54.8691528096,0.4953650561637028,3.422693777753333,3,7,32
-0.936765615,13.114088976312,0.22862877252728364,1.617241076720112,3,13,34
-0.952379798,68.62075141932,0.20267850424898173,4.515323771756977,3,8,34
-0.261237187,3.8886448212612,0.38686699169314664,2.0800662809223027,3,1,25
-0.952380866,102.02568997032,0.3660347644226521,5.837139724266668,3,13,34
-0.154777536,1.7834385979188,0.19811444126999567,2.0800662809223027,3,1,27
-0.744821392,9.145771147188,0.20336427333487364,1.0582637213799413,3,15,34
-0.369785961,7.069282134804,0.6503002732661224,2.1169539551477543,3,1,27
-0.936765615,13.114088976312,0.22862877252728364,1.617241076720112,3,13,34
-0.261237187,3.8886448212612,0.38686699169314664,2.0800662809223027,3,1,25
-0.952364433,54.8691528096,0.4953650561637028,3.422693777753333,3,7,32
-0.952200165,38.974753434924004,0.38153533748525625,2.7999465340663665,3,4,33
-0.952379798,68.62075141932,0.20267850424898173,4.515323771756977,3,8,34
-0.952380829,89.97371821512,0.19974522435584957,5.634679995782668,3,15,27
-0.952380866,102.02568997032,0.3660347644226521,5.837139724266668,3,13,34
-0.147517182,1.6601696432675999,0.18706483305544577,2.0800662809223027,3,1,27
-0.744821392,9.145771147188,0.20336427333487364,1.0582637213799413,3,15,34
-0.369785961,7.069282134804,0.6503002732661224,2.1169539551477543,3,1,27
-0.952379798,68.62075141932,0.20267850424898173,4.515323771756977,3,8,34
-0.936765615,13.114088976312,0.22862877252728364,1.617241076720112,3,13,34
-0.261237187,3.8886448212612,0.38686699169314664,2.0800662809223027,3,1,25
-0.952380829,89.97371821512,0.19974522435584957,5.634679995782668,3,15,27
-0.952200165,38.974753434924004,0.38153533748525625,2.7999465340663665,3,4,33
-0.952364433,54.8691528096,0.4953650561637028,3.422693777753333,3,7,32
-0.95238089,99.08951015772,0.22862877252728364,6.033182094841911,3,13,34
-0.147517182,1.6601696432675999,0.18706483305544577,2.0800662809223027,3,1,27
